id|user_id|user_name|contributors|text|in_reply_to_status_id|favorite_count|coordinates|source|in_reply_to_screen_name|in_reply_to_user_id|is_retweet|retweet_count|geo|created_at|place
854186823001796609|4375825709|latifgunduz3444||RT @secondvirus: trump'  n jetonu d    t  . kendine yayara yapanlarla erdo  ana yapanlar  n ayn   oldu  unu anlad  . s  zc  leri agit falan derken a  t   ||0||"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|||False|0||Tue Apr 18 04:16:23 +0000 2017|
854186822980775936|578577430|3JevonBlake3||RT @NaTe_Sins: How the FBI find Tom Brady jersey but can't find Steve Stephens?||0||"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|||False|0||Tue Apr 18 04:16:23 +0000 2017|
854186822955524096|706386667892928512|SharikINC||RT @GauravPandhi: The 'Ab Ki Baar Trump Sarkar' has increased the US aid for Pakistan. More dollars, more weaponry, more cross-border   ||0||"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|||False|0||Tue Apr 18 04:16:23 +0000 2017|
854186823425417217|3475458917|_Obsessor||RT @stillgray: Responsible for the Cleveland Killer:- Trump- Video games- 2nd Amendment- Masculinity- RacismNot responsible:- The C   ||0||"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|||False|0||Tue Apr 18 04:16:23 +0000 2017|
854186822976643073|203398480|PoetryAndCurls||RT @Impeach_D_Trump: This may just be the best Anti Trump Sign Ever!!RETWEET if you agree! https://t.co/w6XFNx2iuX||0||"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|||False|0||Tue Apr 18 04:16:23 +0000 2017|
854186824167763968|44534596|BeatnikDude||RT @TeaPainUSA: Tea Pain's gotta call it like he sees it.  Trump's literally pickin' a fight with North Korea to drown out the comin' storm   ||0||"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|||False|0||Tue Apr 18 04:16:23 +0000 2017|
854186824859754497|252402252|inkysquib||RT @anamariecox: Guys. Guys. I don   t think Trump knows who   s the leader of North Korea. https://t.co/Gm1o6xV4AD https://t.co/JYtGKIDJde||0||"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"|||False|0||Tue Apr 18 04:16:23 +0000 2017|
854186824767614976|2743229973|bunk_steve||@JChurchRadio @isindaost #F2B If we don't get the truth in the next 4 years then we should just give up cause Trump will have us blown up!||0||"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"|JChurchRadio|108793730|False|0||Tue Apr 18 04:16:23 +0000 2017|
854186825014951936|836463951282057216|cynthiacoxxc||RT @KhanUKIP: Trump Must Choose Between a Secular #SyriaOr one run by #ISIS #AlQaedaWe must back #Assad &amp; #Syrian people agains   ||0||"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"|||False|0||Tue Apr 18 04:16:23 +0000 2017|
854186825371594753|2729977052|LauraB203||@LMplusG @SethAbramson Losing to Trump is kind of the definition of a poor campaign.|854091576229871617|0||"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>"|LMplusG|44020361|False|0||Tue Apr 18 04:16:23 +0000 2017|
